,count,mean,std,min,25%,50%,75%,max
rms,4.0,0.9999999994410131,1.6480328610247608e-10,0.999999999231252,0.9999999993553604,0.999999999462226,0.9999999995478788,0.9999999996083487
peak,4.0,2.4821358898975774,0.0654122617319053,2.417903218180278,2.432797543262418,2.4768306604405153,2.5261690070756746,2.556979020529001
peak_to_peak,4.0,4.940618339179066,0.12075404802979418,4.809594115958527,4.853385626662034,4.9468287547437,5.034061467260733,5.059221731270335
crest_factor,4.0,2.4821358910359566,0.0654122617133457,2.4179032188854626,2.4327975446614003,2.476830661888728,2.526169008263284,2.5569790214809074
kurtosis,4.0,-0.07141007441720637,0.0071883403908571675,-0.07707191296302307,-0.07628119195629957,-0.07362139288955594,-0.06875027535046274,-0.06132559892669054
skewness,4.0,-0.0022907590489367694,0.004711836422496784,-0.007120864100304093,-0.005810438765062984,-0.0024087704165526255,0.0011109092995735888,0.002775368737662264
std_dev,4.0,0.9999999994410131,1.6480328610247608e-10,0.999999999231252,0.9999999993553604,0.999999999462226,0.9999999995478788,0.9999999996083487
dominant_frequency,4.0,244.25,155.96660967442145,30.0,195.0,273.5,322.75,400.0
peak_fft_magnitude,4.0,0.9999999999999928,0.0,0.9999999999999928,0.9999999999999928,0.9999999999999928,0.9999999999999928,0.9999999999999928
top_freq_1,4.0,244.25,155.96660967442145,30.0,195.0,273.5,322.75,400.0
top_freq_2,4.0,244.0,155.50884219233322,30.5,194.75,273.0,322.25,399.5
top_freq_3,4.0,244.5,156.42463574087895,29.5,195.25,274.0,323.25,400.5
spectral_entropy,4.0,1.304446559029699,0.02442165970816836,1.268307151859599,1.3006347368842204,1.314156074545585,1.3179678966910637,1.3211669351680275
frequency_centroid,4.0,245.7202066801918,156.3064658222981,31.186707755124317,195.72203928268073,274.9167477590699,324.91491515658095,401.86062344750314
